"","titulo","entradas_mes","entradas_ult_semana","entradas_semama_anterio","entradas_first_semana","semanas_total","pantallas_max","pantallas_mes","pantallas_ult_semana","pantallas_semana_anterior","pantallas_first_semana","semanas_mes","pais","region","tipo","cantidad","mes","Rank","rank_mes","rank_anterior","rank_total","rank"
"1","UNCHARTED: FUERA DEL MAPA",371373,165991,205082,300,3,422,762,422,339,1,3,"EE.UU","EE.UU","pelicula",1,"FEBRERO",1,29,1,1,1
"2","SPIDER MAN SIN CAMINO A CASA",345519,61798,61572,128840,13,299,939,202,190,299,4,"EE.UU","EE.UU","pelicula",1,"FEBRERO",2,1,2,2,2
"3","SING 2, VEN Y CANTA DE NUEVO",252575,54011,46684,90439,10,245,856,207,189,245,4,"EE.UU","EE.UU","pelicula",1,"FEBRERO",3,2,3,3,3
"4","MUERTE EN EL NILO",86366,17585,21719,47062,3,192,394,80,122,192,3,"EE.UU","EE.UU","pelicula",1,"FEBRERO",7,3,5,4,7
"5","EL EXORCISMO DE DIOS",79755,25112,23066,31577,3,130,295,130,82,83,3,"EE.UU","EE.UU","pelicula",1,"FEBRERO",5,4,4,5,5
"6","ENCANTO",75301,17019,14946,23240,16,92,316,84,73,67,4,"EE.UU","EE.UU","pelicula",1,"FEBRERO",8,7,7,6,8
"7","SCREAM: GRITA",67733,2414,7181,35903,8,132,261,17,32,132,4,"EE.UU","EE.UU","pelicula",1,"FEBRERO",18,3,10,7,18
"8","ECOS DE UN CRIMEN",57954,4508,7213,30040,6,158,282,17,28,158,4,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",15,4,9,8,15
"9","MOONFALL",48891,1114,3123,29224,4,170,336,12,35,170,4,"EE.UU","EE.UU","pelicula",1,"FEBRERO",23,5,15,9,23
"10","PASAJERO 666",47644,922,3875,27462,5,101,206,10,21,101,4,"RUSIA","EUROPA","pelicula",1,"FEBRERO",26,6,13,10,26
"11","BATMAN",44134,44134,NA,44134,1,327,327,327,NA,327,1,"EE.UU","EE.UU","pelicula",1,"FEBRERO",4,4,NA,11,4
"12","LICORICE PIZZA",37795,4924,6302,16269,6,53,148,23,31,53,4,"EE.UU","EE.UU","pelicula",1,"FEBRERO",14,8,12,12,14
"13","CORAZON DE FUEGO",31246,10266,8037,100,4,87,178,42,48,1,4,"FRANCIA","EUROPA","pelicula",1,"FEBRERO",13,33,8,13,13
"14","CASATE CONMIGO",29112,1451,6602,21059,3,100,196,21,75,100,3,"EE.UU","EE.UU","pelicula",1,"FEBRERO",21,6,11,14,21
"15","EL CALLEJON DE LAS ALMAS PERDIDAS",26470,2492,3544,13261,5,50,103,9,19,50,4,"EE.UU","EE.UU","pelicula",1,"FEBRERO",17,9,14,15,17
"16","SPENCER",25931,10365,15566,15566,2,61,116,55,61,61,2,"UK","EUROPA","pelicula",1,"FEBRERO",11,6,6,16,11
"17","LA LLAMADA FINAL",23510,23510,NA,23510,1,131,131,131,NA,131,1,"EE.UU","EE.UU","pelicula",1,"FEBRERO",6,6,NA,17,6
"18","MADRES PARALELAS",18788,293,1317,11688,4,41,77,2,8,41,4,"ESPAÑA","EUROPA","pelicula",1,"FEBRERO",36,10,20,18,36
"19","CLIFFORD EL GRAN PERRO ROJO",14969,1800,1667,5859,14,46,119,13,16,46,4,"EE.UU","EE.UU","pelicula",1,"FEBRERO",19,13,18,19,19
"20","BELFAST",12675,12675,NA,12675,1,92,92,92,NA,92,1,"UK","EUROPA","pelicula",1,"FEBRERO",9,9,NA,20,9
"21","EL PADRINO 50 AÑOS",12474,12474,NA,12474,13,33,33,33,NA,33,1,"EE.UU","EE.UU","pelicula",1,"FEBRERO",10,10,NA,21,10
"22","JACKASS POR SIEMPRE",10431,10331,100,100,2,101,102,101,1,1,2,"EE.UU","EE.UU","pelicula",1,"FEBRERO",12,42,42,22,12
"23","HOY SE ARREGLA EL MUNDO",9844,778,1507,6248,8,31,57,7,10,31,4,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",27,11,19,23,27
"24","EL REGRESO DE GULLIVER",6695,96,470,6129,3,96,117,1,20,96,3,"UCRANIA","EUROPA","pelicula",1,"FEBRERO",50,12,23,24,50
"25","LA CASA GUCCI",4578,618,775,1793,16,8,23,3,5,7,4,"EE.UU","EE.UU","pelicula",1,"FEBRERO",30,15,22,25,30
"26","MATRIX RESURRECCIONES",3814,1277,2537,2537,10,13,24,11,13,13,2,"EE.UU","EE.UU","pelicula",1,"FEBRERO",19,14,14,26,19
"27","THE BEATLES GET BACK: EL ÚLTIMO CONCIERTO",3481,329,3152,3152,2,2,3,1,2,2,2,"EE.UU","EE.UU","documental",1,"FEBRERO",35,16,16,27,35
"28","JUSTICIEROS",2787,2787,NA,2787,1,37,37,37,NA,37,1,"DINAMARCA","EUROPA","pelicula",1,"FEBRERO",16,16,NA,28,16
"29","""ETIQUETA NEGRA""",2541,473,803,274,4,1,4,1,1,1,4,"ESPAÑA","EUROPA","festival",1,"FEBRERO",31,27,21,29,31
"30","HARRY POTTER Y LA PIEDRA FILOSOFAL",2531,2531,NA,2531,80,15,15,15,NA,15,1,"UK","EUROPA","pelicula",1,"FEBRERO",16,16,NA,30,16
"31","NOCHE AMERICANA",2123,22,2101,2101,2,45,46,1,45,45,2,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",65,17,17,31,65
"32","LAS COSAS QUE DECIMOS, LAS COSAS QUE HACEMOS",2018,377,21,1286,4,16,24,2,1,16,4,"FRANCIA","EUROPA","pelicula",1,"FEBRERO",33,17,55,32,33
"33","""CICLO VIVA FELLINI""",1855,760,1095,1095,2,1,2,1,1,1,2,"","","festival",1,"FEBRERO",23,20,20,33,23
"34","THE KING' S MAN: EL ORIGEN",1748,221,1527,1527,6,10,12,2,10,10,2,"EE.UU","EE.UU","pelicula",1,"FEBRERO",33,16,16,34,33
"35","DIGIMON ADVENTURE: LA ULTIMA EVOLUCION",1662,1662,NA,1662,1,9,9,9,NA,9,1,"JAPON","ASIA","pelicula",1,"FEBRERO",20,20,NA,35,20
"36","CICLO RETROSPECTIVA DE PATRICIO GUZMAN",1309,202,563,313,4,1,4,1,1,1,4,"","","festival",1,"FEBRERO",40,24,26,36,40
"37","EX CASADOS",1260,171,612,111,12,4,14,4,4,2,4,"ARGENTINA","ARGENTINA","pelicula",1,"FEBRERO",43,32,25,37,43
"38","RE GRANCHIO",1177,1177,NA,1177,1,12,12,12,NA,12,1,"ITALIA","EUROPA","pelicula",1,"FEBRERO",22,22,NA,38,22
